"trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint"
"1028-03302-47700-2-77297f2f,13:50:59,13:51:00,6044-9da250d0,28,PAPAKURA,0,0,13.734,1"
"1028-03302-47700-2-77297f2f,13:53:01,13:53:01,6042-574a8217,29,PAPAKURA,0,0,14.414,0"
"1028-03302-47700-2-77297f2f,13:54:37,13:54:37,2416-8b918234,30,PAPAKURA,0,0,14.954,0"
"1028-03302-47700-2-77297f2f,13:55:12,13:55:12,2420-d618da7d,31,PAPAKURA,0,0,15.147,0"
"1028-03302-47700-2-77297f2f,13:55:59,13:55:59,6046-23479c49,32,PAPAKURA,0,0,15.411,0"
"1028-03302-47700-2-77297f2f,13:57:41,13:57:41,2536-ad1d8fa6,33,PAPAKURA,0,0,15.98,0"
"1028-03302-47700-2-77297f2f,13:59:36,13:59:36,2534-5e0aaed5,34,PAPAKURA,0,0,16.629,0"
"1028-03302-47700-2-77297f2f,14:01:05,14:01:05,2532-172b93df,35,PAPAKURA,0,0,17.128,0"
"1028-03302-47700-2-77297f2f,14:02:22,14:02:22,2736-75d8c53c,36,PAPAKURA,0,0,17.563,0"
"1028-03302-47700-2-77297f2f,14:03:18,14:03:18,2530-b352218f,37,PAPAKURA,0,0,17.873,0"
"1028-03302-47700-2-77297f2f,14:04:44,14:04:44,2528-ed32a7f6,38,PAPAKURA,0,0,18.356,0"
"1028-03302-47700-2-77297f2f,14:06:09,14:06:09,2526-cdd27e0c,39,PAPAKURA,0,0,18.835,0"
"1028-03302-47700-2-77297f2f,14:07:30,14:07:30,2524-54f3f4c9,40,PAPAKURA,0,0,19.297,0"
"1028-03302-47700-2-77297f2f,14:09:27,14:09:27,2522-d7d47f16,41,PAPAKURA,0,0,19.954,0"
"1028-03302-47700-2-77297f2f,14:10:32,14:10:32,2520-72ead39b,42,PAPAKURA,0,0,20.319,0"
"1028-03302-47700-2-77297f2f,14:12:00,14:12:00,2716-29bbacfe,43,PAPAKURA,1,0,20.814,0"
"1052-39220-70680-2-77928d57,19:38:00,19:38:00,2850-3422d278,1,BIRDWOOD,0,0,0,0"
"1052-39220-70680-2-77928d57,19:39:22,19:39:22,2928-c49936fe,2,BIRDWOOD,0,0,0.811,0"
"1052-39220-70680-2-77928d57,19:40:16,19:40:16,2888-e045a4e2,3,BIRDWOOD,0,0,1.334,0"
"1052-39220-70680-2-77928d57,19:40:34,19:40:34,2832-70c5fb58,4,BIRDWOOD,1,1,1.514,0"
"1052-39220-70680-2-77928d57,19:41:10,19:41:10,2844-c5c06611,5,BIRDWOOD,0,0,1.861,0"
"1052-39220-70680-2-77928d57,19:41:55,19:41:55,2836-995003f2,6,PUKEKOHE,0,0,2.31,0"
"1052-39220-70680-2-77928d57,19:42:23,19:42:23,2834-8e65768f,7,PUKEKOHE,0,0,2.585,0"
"1052-39220-70680-2-77928d57,19:43:09,19:43:09,2884-e351391d,8,PUKEKOHE,0,0,3.031,0"
"1052-39220-70680-2-77928d57,19:44:13,19:44:13,2904-1af5358f,9,PUKEKOHE,0,0,3.664,0"
"1052-39220-70680-2-77928d57,19:45:02,19:45:02,2901-ca8036e1,10,PUKEKOHE,0,0,4.148,0"
"1052-39220-70680-2-77928d57,19:46:02,19:46:02,2895-613fc12b,11,PUKEKOHE,0,0,4.732,0"
"1052-39220-70680-2-77928d57,19:47:38,19:47:38,2871-bdcfea37,12,PUKEKOHE,0,0,5.67,0"
"1052-39220-70680-2-77928d57,19:49:27,19:49:27,2877-7f23a927,13,PUKEKOHE,0,0,7.089,0"
"1052-39220-70680-2-77928d57,19:50:47,19:50:47,2891-70c5fa94,14,PUKEKOHE,0,0,7.871,0"
"1052-39220-70680-2-77928d57,19:51:18,19:51:18,2907-d4e7c758,15,PUKEKOHE,0,0,8.179,0"
"1052-39220-70680-2-77928d57,19:52:00,19:52:00,2909-007e61b2,16,PUKEKOHE,0,0,8.589,0"
"1052-39220-70680-2-77928d57,19:52:53,19:52:53,2929-7be58f7d,17,PUKEKOHE,0,0,9.11,0"
"1052-39220-70680-2-77928d57,19:54:00,19:54:00,2850-3422d278,18,BIRDWOOD,1,0,9.773,0"
"1183-07208-71700-2-d511ea64,19:55:00,19:55:00,1759-1cb249c7,1,HOWICK,0,0,0,0"
"1183-07208-71700-2-d511ea64,19:59:05,19:59:05,6128-f060967f,2,HOWICK,0,0,2.134,0"
"1183-07208-71700-2-d511ea64,20:00:00,20:00:00,6062-2bdd5342,3,HOWICK,0,0,2.613,0"
"1183-07208-71700-2-d511ea64,20:01:13,20:01:13,6798-b2320877,4,HOWICK,0,0,3.28,0"
"1183-07208-71700-2-d511ea64,20:02:05,20:02:05,2388-ca0cd8c3,5,HOWICK,0,0,3.752,0"
"1183-07208-71700-2-d511ea64,20:02:39,20:02:39,6066-2eb8b10e,6,HOWICK,0,0,4.068,0"
