shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1396-03803-3c87ff8c,-36.99833,174.78758,102,2.55
1396-03803-3c87ff8c,-36.99836,174.78765,103,2.557
1396-03803-3c87ff8c,-36.99842,174.78769,104,2.565
1396-03803-3c87ff8c,-36.99848,174.7877,105,2.572
1396-03803-3c87ff8c,-36.99854,174.78768,106,2.579
1396-03803-3c87ff8c,-36.99866,174.7877,107,2.592
1396-03803-3c87ff8c,-36.99866,174.7877,108,2.592
1396-03803-3c87ff8c,-36.99899,174.78777,109,2.629
1396-03803-3c87ff8c,-36.99976,174.78819,110,2.722
1396-03803-3c87ff8c,-36.99993,174.78834,111,2.745
1396-03803-3c87ff8c,-37.00013,174.78845,112,2.769
1396-03803-3c87ff8c,-37.00013,174.78845,113,2.769
1396-03803-3c87ff8c,-37.00056,174.7887,114,2.822
1396-03803-3c87ff8c,-37.00137,174.78914,115,2.92
1396-03803-3c87ff8c,-37.00152,174.78934,116,2.944
1396-03803-3c87ff8c,-37.00152,174.78934,117,2.944
1396-03803-3c87ff8c,-37.00156,174.78939,118,2.95
1396-03803-3c87ff8c,-37.00159,174.78949,119,2.96
1396-03803-3c87ff8c,-37.00161,174.78962,120,2.972
1396-03803-3c87ff8c,-37.00131,174.79063,121,3.068
1396-03803-3c87ff8c,-37.00032,174.7901,122,3.188
1396-03803-3c87ff8c,-37.00032,174.7901,123,3.188
1396-03803-3c87ff8c,-36.99887,174.78934,124,3.363
1396-03803-3c87ff8c,-36.9989,174.78924,125,3.373
1396-03803-3c87ff8c,-36.9989,174.78924,126,3.373
1396-03803-3c87ff8c,-36.9989,174.78924,127,3.373
1396-03803-3c87ff8c,-36.99887,174.78934,128,3.383
1396-03803-3c87ff8c,-36.99809,174.78893,129,3.477
1396-03803-3c87ff8c,-36.9981,174.78887,130,3.482
1396-03803-3c87ff8c,-36.99807,174.78881,131,3.488
1396-03803-3c87ff8c,-36.99804,174.78879,132,3.492
1396-03803-3c87ff8c,-36.99829,174.78806,133,3.563
1396-03803-3c87ff8c,-36.9983,174.78804,134,3.565
1396-03803-3c87ff8c,-36.99853,174.78769,135,3.605
1396-03803-3c87ff8c,-36.99858,174.78763,136,3.613
1396-03803-3c87ff8c,-36.99861,174.78758,137,3.619
1396-03803-3c87ff8c,-36.99862,174.78756,138,3.621
1396-03803-3c87ff8c,-36.99862,174.78754,139,3.623
1396-03803-3c87ff8c,-36.99862,174.78749,140,3.627
1396-03803-3c87ff8c,-36.99861,174.78742,141,3.633
1396-03803-3c87ff8c,-36.99857,174.78737,142,3.639
1396-03803-3c87ff8c,-36.99853,174.78733,143,3.645
1396-03803-3c87ff8c,-36.9985,174.78732,144,3.648
1396-03803-3c87ff8c,-36.99847,174.78732,145,3.651
1396-03803-3c87ff8c,-36.99846,174.78732,146,3.652
1396-03803-3c87ff8c,-36.99841,174.78734,147,3.658
1396-03803-3c87ff8c,-36.99829,174.78728,148,3.672
1396-03803-3c87ff8c,-36.99815,174.78724,149,3.688
1396-03803-3c87ff8c,-36.99804,174.7872,150,3.701
1396-03803-3c87ff8c,-36.99801,174.78719,151,3.704
1396-03803-3c87ff8c,-36.99795,174.78715,152,3.712
1396-03803-3c87ff8c,-36.99786,174.7871,153,3.723
1396-03803-3c87ff8c,-36.9978,174.78707,154,3.73
1396-03803-3c87ff8c,-36.99763,174.78695,155,3.752
1396-03803-3c87ff8c,-36.99686,174.78653,156,3.845
1396-03803-3c87ff8c,-36.99657,174.78638,157,3.88
1396-03803-3c87ff8c,-36.9961,174.78613,158,3.937
1396-03803-3c87ff8c,-36.99584,174.78601,159,3.968
1396-03803-3c87ff8c,-36.99568,174.78595,160,3.987
1396-03803-3c87ff8c,-36.99546,174.78589,161,4.012
1396-03803-3c87ff8c,-36.99516,174.78585,162,4.045
1396-03803-3c87ff8c,-36.99496,174.78584,163,4.067
1396-03803-3c87ff8c,-36.99483,174.78584,164,4.081
1396-03803-3c87ff8c,-36.99452,174.78588,165,4.116
1396-03803-3c87ff8c,-36.99392,174.78604,166,4.184
1396-03803-3c87ff8c,-36.99374,174.78609,167,4.204
1396-03803-3c87ff8c,-36.99319,174.78624,168,4.266
1396-03803-3c87ff8c,-36.99312,174.78625,169,4.274
1396-03803-3c87ff8c,-36.99304,174.78626,170,4.283
1396-03803-3c87ff8c,-36.99291,174.78627,171,4.297
1396-03803-3c87ff8c,-36.99278,174.78627,172,4.311
1396-03803-3c87ff8c,-36.99269,174.78627,173,4.321
1396-03803-3c87ff8c,-36.99265,174.78627,174,4.325
1396-03803-3c87ff8c,-36.99248,174.78625,175,4.344
1396-03803-3c87ff8c,-36.99239,174.78624,176,4.354
1396-03803-3c87ff8c,-36.99212,174.78622,177,4.384
1396-03803-3c87ff8c,-36.99158,174.78615,178,4.444
1396-03803-3c87ff8c,-36.99143,174.78614,179,4.461
1396-03803-3c87ff8c,-36.99138,174.78613,180,4.467
1396-03803-3c87ff8c,-36.99132,174.78611,181,4.474
1396-03803-3c87ff8c,-36.99128,174.78608,182,4.479
1396-03803-3c87ff8c,-36.99126,174.78607,183,4.481
1396-03803-3c87ff8c,-36.99119,174.78601,184,4.49
1396-03803-3c87ff8c,-36.99117,174.78597,185,4.494
1396-03803-3c87ff8c,-36.99114,174.78593,186,4.499
1396-03803-3c87ff8c,-36.99111,174.78583,187,4.509
1396-03803-3c87ff8c,-36.99111,174.78579,188,4.513
1396-03803-3c87ff8c,-36.9911,174.78573,189,4.518
1396-03803-3c87ff8c,-36.9911,174.78563,190,4.527
1396-03803-3c87ff8c,-36.99109,174.78551,191,4.538
1396-03803-3c87ff8c,-36.99109,174.78538,192,4.55
1396-03803-3c87ff8c,-36.9911,174.78514,193,4.571
1396-03803-3c87ff8c,-36.99109,174.7848,194,4.601
1396-03803-3c87ff8c,-36.99109,174.7847,195,4.61
1396-03803-3c87ff8c,-36.99109,174.78449,196,4.629
1396-03803-3c87ff8c,-36.99108,174.78444,197,4.634
1396-03803-3c87ff8c,-36.99104,174.7841,198,4.665
1396-03803-3c87ff8c,-36.99099,174.7838,199,4.692
1396-03803-3c87ff8c,-36.99099,174.78373,200,4.698
1396-03803-3c87ff8c,-36.99098,174.78367,201,4.703
1396-03803-3c87ff8c,-36.99099,174.78363,202,4.707
1396-03803-3c87ff8c,-36.991,174.78354,203,4.715
1396-03803-3c87ff8c,-36.99103,174.78346,204,4.723
1396-03803-3c87ff8c,-36.99106,174.7834,205,4.729
1396-03803-3c87ff8c,-36.99107,174.78335,206,4.734
1396-03803-3c87ff8c,-36.99108,174.78334,207,4.735
1396-03803-3c87ff8c,-36.99107,174.7833,208,4.739
1396-03803-3c87ff8c,-36.99107,174.78325,209,4.743
1396-03803-3c87ff8c,-36.99105,174.78319,210,4.749
1396-03803-3c87ff8c,-36.99102,174.78315,211,4.754
1396-03803-3c87ff8c,-36.99099,174.78313,212,4.758
1396-03803-3c87ff8c,-36.99094,174.78311,213,4.764
1396-03803-3c87ff8c,-36.99089,174.78311,214,4.77
1396-03803-3c87ff8c,-36.99085,174.78313,215,4.775
1396-03803-3c87ff8c,-36.9908,174.78316,216,4.781
1396-03803-3c87ff8c,-36.99079,174.78318,217,4.783
1396-03803-3c87ff8c,-36.99076,174.78321,218,4.787
1396-03803-3c87ff8c,-36.9906,174.7833,219,4.806
1396-03803-3c87ff8c,-36.99036,174.78343,220,4.835
1396-03803-3c87ff8c,-36.99031,174.78349,221,4.843
1396-03803-3c87ff8c,-36.99025,174.78352,222,4.85
1396-03803-3c87ff8c,-36.99018,174.78354,223,4.858
1396-03803-3c87ff8c,-36.98924,174.78384,224,4.966
1396-03803-3c87ff8c,-36.98908,174.78389,225,4.984
1396-03803-3c87ff8c,-36.98897,174.7839,226,4.996
1396-03803-3c87ff8c,-36.98889,174.78391,227,5.005
1396-03803-3c87ff8c,-36.9888,174.78391,228,5.015
1396-03803-3c87ff8c,-36.98871,174.78391,229,5.025
1396-03803-3c87ff8c,-36.98861,174.7839,230,5.036
1396-03803-3c87ff8c,-36.9869,174.78358,231,5.228
1396-03803-3c87ff8c,-36.9869,174.78358,232,5.228
1396-03803-3c87ff8c,-36.9869,174.78357,233,5.229
1396-03803-3c87ff8c,-36.98691,174.7835,234,5.235
1396-03803-3c87ff8c,-36.98691,174.7835,235,5.235
1396-03803-3c87ff8c,-36.9869,174.78358,236,5.242
1396-03803-3c87ff8c,-36.98684,174.78357,237,5.249
