shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
new_shape_id,-37.00604,174.79192,1,0
new_shape_id,-37.00598,174.7919,2,50
new_shape_id,-37.006115812736226,174.79136321632825,3,100
new_shape_id,-37.00611581279645,174.7913632160902,4,150
new_shape_id,-37.00619,174.79107,5,200
new_shape_id,-37.00634,174.79112,6,250
new_shape_id,-37.00619,174.79107,7,300
new_shape_id,-37.00632,174.79061,8,350
new_shape_id,-37.00632,174.79058,9,400
new_shape_id,-37.00632,174.79055,10,450
new_shape_id,-37.00631,174.79053,11,500
new_shape_id,-37.00629,174.79052,12,550
new_shape_id,-37.00605,174.79042,13,600
new_shape_id,-37.005898523064396,174.79095016927462,14,650
new_shape_id,-37.00589,174.79098,15,700
new_shape_id,-37.00584,174.79116,16,750
new_shape_id,-37.00541561740089,174.79097386728108,17,800
new_shape_id,-37.00527,174.79091,18,850
new_shape_id,-37.00503,174.7908,19,900
new_shape_id,-37.0047,174.79066,20,950
new_shape_id,-37.00452,174.79061,21,1000
new_shape_id,-37.00451,174.7905,22,1050
new_shape_id,-37.00448,174.79044,23,1100
new_shape_id,-37.00444,174.79041,24,1150
new_shape_id,-37.00434,174.79042,25,1200
new_shape_id,-37.0043,174.79046,26,1250
new_shape_id,-37.00427,174.79051,27,1300
new_shape_id,-37.00409,174.7904,28,1350
new_shape_id,-37.003668241882544,174.7902047416123,29,1400
new_shape_id,-37.00355,174.79015,30,1450
new_shape_id,-37.00348,174.7901,31,1500
new_shape_id,-37.00309,174.78988,32,1550
new_shape_id,-37.00272,174.78968,33,1600
new_shape_id,-37.00230605332889,174.78946009083097,34,1650
new_shape_id,-37.00208,174.78934,35,1700
new_shape_id,-37.00198,174.78916,36,1750
new_shape_id,-37.00196,174.78911,37,1800
new_shape_id,-37.00193,174.78891,38,1850
new_shape_id,-37.002078952013065,174.78837873782007,39,1900
new_shape_id,-37.00207895214479,174.78837873735023,40,1950
new_shape_id,-37.00222790441766,174.78784747424368,41,2000
new_shape_id,-37.002227904419485,174.78784747423717,42,2050
new_shape_id,-37.00223,174.78784,43,2100
new_shape_id,-37.00238056210284,174.78730944782805,44,2150
new_shape_id,-37.0023805621551,174.7873094476439,45,2200
new_shape_id,-37.00244,174.7871,46,2250
new_shape_id,-37.00256,174.78688,47,2300
new_shape_id,-37.00269,174.78672,48,2350
new_shape_id,-37.0027,174.78671,49,2400
new_shape_id,-37.00285,174.78661,50,2450
new_shape_id,-37.00297,174.78658,51,2500
new_shape_id,-37.00306,174.78658,52,2550
new_shape_id,-37.00346,174.78673,53,2600
new_shape_id,-37.00358,174.78677,54,2650
new_shape_id,-37.0037,174.78679,55,2700
new_shape_id,-37.00381,174.78678,56,2750
new_shape_id,-37.00393,174.78675,57,2800
new_shape_id,-37.00412,174.78662,58,2850
new_shape_id,-37.00426,174.78641,59,2900
new_shape_id,-37.00440815817726,174.78587837359922,60,2950
new_shape_id,-37.004408158196235,174.78587837353115,61,3000
new_shape_id,-37.00443,174.7858,62,3050
new_shape_id,-37.00457051688788,174.78526512926547,63,3100
new_shape_id,-37.00457051702922,174.78526512872747,64,3150
new_shape_id,-37.00471103415146,174.78473025710085,65,3200
new_shape_id,-37.00471103417562,174.7847302570089,66,3250
new_shape_id,-37.00474,174.78462,67,3300
new_shape_id,-37.00479,174.78429,68,3350
new_shape_id,-37.0048,174.78398,69,3400
new_shape_id,-37.00475,174.78353,70,3450
new_shape_id,-37.00469,174.78325,71,3500
new_shape_id,-37.00462,174.78305,72,3550
new_shape_id,-37.00444,174.78264,73,3600
new_shape_id,-37.00436,174.7825,74,3650
new_shape_id,-37.00431,174.78244,75,3700
new_shape_id,-37.00435,174.7824,76,3750
new_shape_id,-37.00431,174.78244,77,3800
new_shape_id,-37.00417,174.78226,78,3850
new_shape_id,-37.00392,174.78195,79,3900
new_shape_id,-37.00383,174.78187,80,3950
new_shape_id,-37.00379,174.78186,81,4000
new_shape_id,-37.0033532024027,174.7817262864498,82,4050
new_shape_id,-37.0033,174.78171,83,4100
new_shape_id,-37.0032,174.78169,84,4150
new_shape_id,-37.00306,174.78168,85,4200
new_shape_id,-37.00283,174.78164,86,4250
new_shape_id,-37.00242,174.78162,87,4300
new_shape_id,-37.00219,174.78168,88,4350
new_shape_id,-37.00194,174.78177,89,4400
new_shape_id,-37.00168,174.78201,90,4450
new_shape_id,-37.00151,174.78225,91,4500
new_shape_id,-37.00131,174.78262,92,4550
new_shape_id,-37.00123,174.78283,93,4600
new_shape_id,-37.00109052702347,174.78336527466666,94,4650
new_shape_id,-37.00095105416256,174.78390054888962,95,4700
new_shape_id,-37.00086,174.78425,96,4750
new_shape_id,-37.00071227986079,174.78478179250115,97,4800
new_shape_id,-37.00066,174.78497,98,4850
new_shape_id,-37.00059,174.78511,99,4900
new_shape_id,-37.00054,174.78519,100,4950
new_shape_id,-37.00049,174.78527,101,5000
new_shape_id,-37.00043,174.78534,102,5050
new_shape_id,-37.00036,174.78541,103,5100
new_shape_id,-37.0002,174.78556,104,5150
new_shape_id,-37.00008,174.78563,105,5200
new_shape_id,-36.99975,174.78582,106,5250
new_shape_id,-36.99971,174.78585,107,5300
new_shape_id,-36.99959,174.78591,108,5350
new_shape_id,-36.99925,174.7861,109,5400
new_shape_id,-36.99888,174.7863,110,5450
new_shape_id,-36.99887,174.78634,111,5500
new_shape_id,-36.99885,174.7864,112,5550
new_shape_id,-36.99868,174.78691,113,5600
new_shape_id,-36.99856,174.78715,114,5650
new_shape_id,-36.99841,174.78732,115,5700
new_shape_id,-36.99836,174.78736,116,5750
